category,question,answer
ارتباط با کاربران,زمانی که نیاز هست با کاربر تماس بگیریم,"دوست عزیز، سلام.

خوشحال می‌شیم اگه بتونیم با شما تلفنی صحبت کنیم. این تماس به ما کمک می‌کنه تجربهٔ بهتری در استفاده از طاقچه براتون بسازیم.
اگه موافقید، ممنون می‌شیم بهمون شماره‌تماستون رو بدید.
اگه روز و ساعتی رو هم که براتون مناسبه، بگید، همون موقع با شما تماس می‌گیریم. 

زمانی که کاربر به تماس ما پاسخ نداده است:

دوست عزیز، سلام.
با شما تماس گرفتیم اما متأسفانه موفق به گفتگو با شما نشدیم. برای پیگیری سریع‌تر مشکلتون می‌تونید از طریق پیام باهامون در ارتباط باشید یا هر زمانی گفتگوی تلفنی براتون مقدوره، بهمون اطلاع بدید تا باهاتون تماس بگیریم.
ممنون از همراهی‌تون"
ارتباط با کاربران,چرا انقدر دیر جواب میدید؟,"دوست عزیز، سلام.

از تأخیر توی پاسخگویی عذرخواهی می‌کنیم. این‌روزها پیام‌های زیادی برای بخش پشتیبانی فرستاده می‌شه. به همین دلیل ممکنه بعضی پیام‌ها دیرتر پاسخ داده بشه. ممنون که صبورانه همراه ما هستید."
ارتباط با کاربران,برای مواقعی که نیاز به ارسال فایل هستش,"دوست عزیز، سلام.

لطفاً تصویر صفحهٔ این مشکل (اسکرین‌شات) رو برامون بفرستید تا بررسی‌ش کنیم."
ارتباط با کاربران,تشکر و قدردانی,"دوست عزیز، سلام.

خوشحالیم که استفاده از طاقچه براتون لذتبخش بوده. حمایت شما باعث دلگرمی ماست. 

دوست عزیز، سلام.

سپاس از همراهی شما. امیدواریم طاقچه بتونه لذت کتاب‌خوندن رو براتون دوچندان کنه. 

کاربرهای خارج از کشور:

دوست عزیز، سلام.

از همراهی شما خوشحالیم. امیدواریم طاقچه بتونه لذت کتاب‌خوندن دور از وطن رو براتون دوچندان کنه.

 
در حالتی که نیاز به پاسخ طولانی‌تر و صمیمی‌تری است:

 دوست عزیز، سلام.

 خیلی خوشحالیم که تونستیم تجربهٔ خوشایندی در مطالعه برای شما به‌وجود بیاریم. از اینکه با لطف و محبت به ما بازخورد دادید، خیلی ممنونیم. امیدواریم روزبه‌روز بتونیم رضایت کتاب‌خون‌های عزیزی مثل شما رو بیشتر جلب کنیم."
ارتباط با کاربران,جواب های پیش فرضی که در مایکت و کافه بازار ارسال میکنیم,"صرفاً تشکر(در قالب یک جمله کوتاه یا بلند):

 -خوشحالیم که تونستیم تجربهٔ خوبی براتون بسازیم 🌿 
-اینکه تونستیم رضایتتون رو جلب کنیم، دلگرممون می‌کنه 🌿 
-از اینکه خوشحالتون کردیم، خیلی خوشحالیم 🌿
 -چه خوب که پشتمون به دوستانی مثل شما گرمه 🌿 
- ممنون از اینکه تجربهٔ خودتون رو با ما در میون گذاشتید. 🙏
- خوشحالیم از اینکه همراهتونیم.
 - به داشتن دوستانی مثل شما افتخار می‌کنیم 🌿
 - خوشحالیم که استفاده از طاقچه براتون لذت‌بخش بوده. حمایت شما باعث دلگرمی‌مونه. 
- ممنون از اینکه وقت گذاشتید و نظرتون رو برامون نوشتید 🙏 

تشکر همراه با پیشنهاد:
 -از اینکه تجربیاتتون رو به اشتراک گذاشتید ممنونیم. پیشنهاداتتون برای بهبود برنامه بسیار مفید هستند و حتماً بازخوردتون رو به همکارانمون منتقل می‌کنیم. 
-از اینکه تونستیم رضایتتون رو جلب کنیم خوشحالیم و همچنین از پیشنهاداتتون بسیار ممنونیم و مواردی که مطرح کردید رو به همکارانمون منتقل می‌کنیم. 
-سپاس از همراهی شما و ارسال پیشنهادات سازنده. ما همواره به دنبال راه‌هایی برای بهبود برنامه هستیم و از اینکه در این مسیر بهمون کمک می‌کنید ممنونیم. 

پیشنهاد اضافه شدن یک فیچر 
-ممنون که پیشنهاداتتون رو باهامون درمیون می‌ذارید. این پیشنهادات رو به دقت بررسی می‌کنیم و به تیم مربوطه منتقل می‌کنیم.
 -ممنون که با پیشنهاداتتون به بهبود مستمر برنامه کمک می‌کنید. حتماً این مورد رو برای بررسی دقیق‌تر به همکارانمون منتقل می‌کنیم. 
-ما ممنون که با دغدغه‌مندی مارو دنبال می‌کنید. این موارد رو حتماً به همکارانمون منتقل می‌کنیم تا در صورت امکان بتونیم این قابلیت رو به برنامه اضافه کنیم.

 پیشنهاد اضافه شدن کتاب: 
-حتماً پیشنهادتون رو به همکارانمون منتقل می‌کنیم تا در صورت امکان کتاب مورد نظرتون رو بتونید در طاقچه مطالعه کنید. برای اضافه شدن کتاب‌ها به طاقچه، باید با ناشر کتاب قرارداد داشته باشیم و ناشر، نسخهٔ دیجیتال کتاب رو در اختیار ما بذاره. 
-ممنون که با دغدغه‌مندی مارو دنبال می‌کنید.برای اینکه بتونیم درخواستتون رو دقیق‌تر پیگیری کنیم لطفاً در سایت و اپلیکیشن طاقچه وارد قسمت پشتیبانی بشید و از اون طریق عنوان و انتشارات کتاب موردنظرتون رو برامون ارسال کنید. 
مجموعه‌ای از درخواست‌ها و پیشنهادات:
 -نظرات و پیشنهاداتتون برامون بسیار ارزشمند هست و حتما اون‌هارو بررسی و ارزیابی می‌کنیم تا تجربه بهتری در استفاده از برنامه داشته باشید. 
-خوشحالیم که از برنامه رضایت دارید. پیشنهاداتتون رو بررسی می‌کنیم و در صورت امکان اقدامات لازم رو انجام خواهیم داد. 

گزارش یک مشکل روتین: 
-از مشکلی که پیش اومده متأسفیم🙏 برای پیگیری بهتر این مشکل لطفاً در سایت و اپلیکیشن طاقچه وارد قسمت پشتیبانی بشید و از اون طریق باهامون در ارتباط باشید. حتماً مسئله رو پیگیری می‌کنیم. 
-بابت این موضوع متأسفیم.برای اینکه بتونیم سریع‌تر مسئله رو بررسی و رفع کنیم لطفاً در سایت و اپلیکیشن طاقچه وارد قسمت پشتیبانی بشید و از اون طریق باهامون در ارتباط باشید. 

گزارش مشکلی که به صورت کلی وجود نداره: 
-ممنون که باهامون در ارتباطید. بر اساس بررسی‌های اولیه، این مشکل به صورت کلی وجود نداره. برای اینکه بتونیم موضوع رو دقیق‌تر بررسی کنیم،در سایت و اپلیکیشن طاقچه وارد قسمت پشتیبانی بشید و از اون طریق باهامون در ارتباط باشید.پیگیری موضوع مهمه و منتظر پیامتون هستیم. 
-متأسفیم که با این مشکل مواجه شدید، بررسی‌های ما نشون می‌ده که برنامه به صورت کلی چنین مشکلی نداره. لطفاً جهت بررسی دقیق‌تر در سایت و اپلیکیشن طاقچه وارد قسمت پشتیبانی بشید و از اون طریق باهامون در ارتباط باشید.
 -ممنون که موضوع رو باهامون در میون گذاشتید.ما این موضوع رو بررسی کردیم و متوجه شدیم که در‌حال‌حاضر برنامه چنین مشکلی نداره.لطفاً جهت بررسی دقیق‌تر در سایت و اپلیکیشن طاقچه وارد قسمت پشتیبانی بشید و از اون طریق باهامون در ارتباط باشید. 
-بابت تجربه ناخوشایندی که داشتید متأسفیم. این مشکل به صورت گسترده رخ نداده اما همکاران ما در‌حال تلاش برای رفع اون هستن.لطفاً جهت بررسی دقیق‌تر در سایت و اپلیکیشن طاقچه وارد قسمت پشتیبانی بشید و از اون طریق باهامون در ارتباط باشید. 
-متأسفیم که با این مشکل مواجه شدید.لطفاً برای بررسی دقیق‌تر و کمک به حل مشکل در سایت و اپلیکیشن طاقچه وارد قسمت پشتیبانی بشید و از اون طریق باهامون در ارتباط باشید.بر اساس بررسی‌های اولیه همه کاربران با این مشکل مواجه نیستن و همکاران ما در تلاشند تا مشکل هرچه سریع‌تر رفع شود. 

انتقاد به صورت کلی و بدون توضیح علت: 
-از اینکه تجربه شما در استفاده از برنامه مطابق با انتظاراتتون نبوده متأسفیم. ما همواره به دنبال بهبود برنامه و رفع ایرادات هستیم و خوشحال می‌شیم جزئیات بیشتری از مشکلی که با آن مواجه شدید بهمون بگید.
 -برای اینکه بتونیم کیفیت برنامه رو بهتر کنیم، ممنون می‌شیم به ما بگید کدوم قسمت یا ویژگی طاقچه باعث نارضایتی‌تون شده. 🙏 
-ممنون که باهامون در ارتباطید. برای اینکه بتونیم موضوع رو دقیق‌تر بررسی کنیم خوشحال می‌شیم جزئیات بیشتری از مشکلی که با اون مواجه شدید بهمون بگید.

 به صورت جزئی با ذکر موارد:
 -متأسفیم که تجربه شما در استفاده از برنامه متناسب با انتظاراتتون نبوده. بازخوردتون برامون بسیار ارزشمند هستش و به ما کمک می‌کنه تا اشکالات رو رفع کنیم و برنامه رو بهبود بدیم.
 -ممنون که با دغدغه‌مندی مارو دنبال می‌کنید. ما از نظرات مثبت و منفی استقبال می‌کنیم و همواره در تلاشیم تا کاربران تجربه بهتری در استفاده از برنامه داشته باشند. 
-از نظرات و انتقاداتتون بسیار سپاسگزاریم. این امر به ما کمک می‌کنه تا بتونیم محصولمون رو بهبود بدیم تجربه کاربری بهتری رو فراهم کنیم. 

قیمت و درخواست تخفیف: 
-ممنون که نظرتون رو برامون نوشتید.قیمت نسخه‌ٔ الکترونیکی یا صوتی کتاب‌ها رو (مثل نسخهٔ چاپی) ناشر مشخص می‌کنه و طاقچه نقشی تو این موضوع نداره. البته ما توی طاقچه تلاش می‌کنیم با دادن تخفیف‌ و با کتابخونهٔ اشتراکی «بی‌نهایت» دسترسی به کتاب‌ها رو آسون‌تر کنیم. 
-ممنون که باهامون در ارتباطید. هر روز توی طاقچه تخفیف‌های متنوعی داریم. برای باخبر شدن از این تخفیف‌ها، پیشنهاد می‌کنیم هر روز به سایت یا اپلیکیشن طاقچه سر بزنید. 
-ممنون که نظرتون رو برامون نوشتید. کتاب‌هایی توی طرح تخفیف قرار می‌گیرن که ناشر اجازهٔ تخفیف روی اون‌ها رو بده و تا وقتی ناشر اجازهٔ تخفیف نده، ما این امکان رو نداریم که کتاب رو توی طرح تخفیف بذاریم. 

قوانین بی‌نهایت: 
-ممنون که باهامون در ارتباطید. با داشتن اشتراک «بی‌نهایت» می‌تونید کتاب‌هایی رو که در دسته‌بندی بی‌نهایت قرار دارن، مطالعه کنید. این کتاب‌ها با علامت ∞ مشخص شده‌ن. برای دسترسی به کتاب‌های دیگه، می‌تونید اون‌ها رو بخرید. 
-ممنون که نظرتون رو برامون نوشتید. ما همواره در تلاش هستیم تا کتاب‌های بیشتری به بخش بی‌نهایت اضافه کنیم. اما همهٔ کتاب‌های «طاقچه بی‌نهایت» با تصمیم ناشر در این بخش قرار می‌گیرن و با تصمیم ناشر هم از این بخش حذف می‌شن. 

ترکیبی از تشکر و نقد: 
-از توجه به جزئیات و بازخوردتون ممنونیم. نظرات شما به ما کمک می‌کنه تا پیوسته برنامه رو بهبود بدیم و تجربه کاربری بهتری رو براتون رقم بزنیم.
 -از بازخورد سازنده‌تون ممنونیم. نظرات شما به ما کمک می‌کنه تا نقاط ضعف و قوت برنامه رو شناسایی کنیم و بهبودات لازم رو اعمال کنیم. 
-خوشحالیم که از تجربه مثبت و منفی شما در استفاده از برنامه مطلع شدیم. بازخورد شما برای بهبود مستمر و خلق تجربه بهتر به ما انگیزه می‌ده. سپاس از همراهی‌‌تون.

انتقادا"
ارتباط با کاربران,پاسخ به درخواست عودت وجه,"دوست عزیز، سلام.

لطفاً از طریق لینکی که در ادامهٔ پیام براتون ارسال می‌شه، وارد فرم بازگشت وجه بشید و اطلاعات درخواستی‌ رو به صورت کامل وارد کنید. توجه داشته باشید که مشخصاتی که در کارت ملی‌تون نوشته شده، باید با مشخصاتی که توی فرم نوشتید، یکی باشه، پس از تکمیل فرم حتماً بهمون اطلاع بدید تا پیگیری لازم رو انجام بدیم."
ارتباط با کاربران,در جواب پیشنهاداتی که میدن,"حالت اول (در جواب پیشنهاد رفع اشکال):

دوست عزیز، سلام.

ممنون از وقتی که گذاشتید و با بازخوردتون به ما کمک کردید اشکالات رو اصلاح کنیم. مواردی رو که مطرح کردید، به همکارانمون منتقل می‌کنیم. 

حالت دیگر (در جواب پیشنهادهای دیگر):

دوست عزیز، سلام.

ممنون از وقتی که می‌ذارید و با بازخوردتون به ما کمک می‌کنید تا خدمات بهتری ارا‌ئه بدیم. موردی رو که مطرح کردید، به همکارانمون منتقل می‌کنیم."
ارتباط با کاربران,در پاسخ به کاربری که در مورد دسترسی به فایل کتاب معترض هست (می‌گه توی سایت نوشتید «دانلود») و ما می‌خوایم مبلغ رو برگردونیم تا رضایتش حفظ بشه,"دوست عزیز، سلام.

از اینکه واژهٔ «دانلود» باعث سوءتفاهم شده، متأسفیم. منظور ما از «دانلود»، معنی فنی اونه، یعنی فایل‌ها از سرورهای ما به دستگاه شما منتقل می‌شن. البته این دانلود، برای حفظ حقوق ناشر، به‌صورت رمزنگاری‌شده صورت می‌گیره. این مسئله رو توی مقررات طاقچه آوردیم و نوشتیم: «از کتاب‌هایی که با طاقچه خریده‌اید، فقط در اپلیکیشن‌های کتابخوان طاقچه می‌توانید استفاده کنید.»
این شرایط و مقررات موقع ساختن حساب کاربری اومده و شما اون رو پذیرفتید.
همین‌طور، طبق قوانین طاقچه، وجه خرید رو نباید برگردونیم. با این حال، تموم تلاشمون رو می‌کنیم تا بتونیم تجربهٔ خوبی برای شما بسازیم. هدف نهایی ما جلب رضایت شماست، بنابراین استثنا قائل می‌شیم و وجه پرداختی‌تون رو برمی‌گردونیم.
برای اینکه بتونیم این کار رو بکنیم، لطفاً درخواستتون رو به ایمیل طاقچه بفرستید و فرمی رو که براتون می‌فرستیم، پر کنید. توی این فرم، شمارهٔ شبایی رو بنویسید که خریدتون از طاقچه رو با حساب متصل به اون، انجام دادید."
ارتباط با کاربران,در پاسخ به کاربرانی که به دلیل باگ پیشنهاد کتاب پیام‌شون در قسمت بازخورد ارسال شده,"دوست عزیز، سلام.

برای اینکه بتونیم درخواستتون رو دقیق‌تر بررسی کنیم، لطفاً عنوان و انتشارات کتاب موردنظرتون رو بهمون بگید تا در صورت امکان این کتاب رو به طاقچه اضافه کنیم."
ارتباط با کاربران,چرا هنوز مشکلم حل نشده؟,"دوست عزیز، سلام.
از اینکه منتظر موندید، متأسفیم. همکاران فنی ما درحال بررسی مشکلتون هستن. به‌محض اعلام نتیجه، ما بهتون اطلاع می‌دیم. ممنون که صبورانه همراه ما هستید.
یا:
دوست عزیز، سلام.
ازاینکه فرایند رسیدگی به مشکلتون زمان‌بر شده، عذرخواهی می‌کنیم. متأسفانه به‌دلیل پیچیدگی‌های فنی‌ای که برای حل این مسئله وجود داره، فرایند رسیدگی بهش طول می‌کشه. حتماً نتیجه رو بهتون اطلاع می‌دیم. ممنون از همراهی‌تون.
بعد از رفع مشکل:
دوست عزیز، سلام.
بابت مشکل پیش‌اومده متأسفیم. درحال حاضر این اختلال برطرف شده. اگر کماکان مشکلتون ادامه داره، لطفاً بهمون اطلاع بدید. حتماً پیگیری می‌کنیم. ممنون که صبورانه ما رو همراهی ‌می‌کنید."
